0,0,a
0,1,a
0,2,n
0,3,a
0,4,a
0,5,f
0,6,a
0,7,a
1,0,f
1,1,a
1,2,a
1,3,a
1,4,f
1,5,f
1,6,n
1,7,f
2,0,n
2,1,f
2,2,a
2,3,f
2,4,a
2,5,a
2,6,f
2,7,a
3,0,a
3,1,a
3,2,a
3,3,a
3,4,f
3,5,a
3,6,f
3,7,f
4,0,n
4,1,f
4,2,f
4,3,f
4,4,a
4,5,n
4,6,n
4,7,a
5,0,n
5,1,f
5,2,n
5,3,f
5,4,a
5,5,f
5,6,f
5,7,f
6,0,f
6,1,f
6,2,n
6,3,a
6,4,n
6,5,a
6,6,n
6,7,a
7,0,n
7,1,f
7,2,n
7,3,f
7,4,f
7,5,a
7,6,f
7,7,a
8,0,f
8,1,a
8,2,f
8,3,n
8,4,n
8,5,a
8,6,n
8,7,a
9,0,f
9,1,a
9,2,a
9,3,a
9,4,a
9,5,a
9,6,n
9,7,f
10,0,a
10,1,a
10,2,a
10,3,f
10,4,a
10,5,a
10,6,f
10,7,a
11,0,n
11,1,f
11,2,a
11,3,f
11,4,n
11,5,f
11,6,a
11,7,f
12,0,a
12,1,a
12,2,n
12,3,n
12,4,a
12,5,a
12,6,a
12,7,n
13,0,f
13,1,f
13,2,n
13,3,a
13,4,n
13,5,a
13,6,f
13,7,n
14,0,a
14,1,f
14,2,n
14,3,f
14,4,a
14,5,n
14,6,n
14,7,n
15,0,a
15,1,a
15,2,a
15,3,a
15,4,n
15,5,n
15,6,n
15,7,n
16,0,a
16,1,n
16,2,a
16,3,a
16,4,f
16,5,a
16,6,a
16,7,a
17,0,a
17,1,a
17,2,n
17,3,a
17,4,a
17,5,n
17,6,f
17,7,a
18,0,a
18,1,f
18,2,a
18,3,n
18,4,a
18,5,a
18,6,n
18,7,n
19,0,a
19,1,n
19,2,a
19,3,a
19,4,f
19,5,n
19,6,a
19,7,a
20,0,a
20,1,a
20,2,a
20,3,f
20,4,n
20,5,a
20,6,a
20,7,n
21,0,a
21,1,a
21,2,a
21,3,a
21,4,f
21,5,a
21,6,f
21,7,a
22,0,a
22,1,n
22,2,f
22,3,a
22,4,f
22,5,a
22,6,n
22,7,f
23,0,n
23,1,a
23,2,a
23,3,f
23,4,f
23,5,n
23,6,f
23,7,f
24,0,a
24,1,f
24,2,n
24,3,f
24,4,a
24,5,a
24,6,a
24,7,a
25,0,a
25,1,n
25,2,n
25,3,f
25,4,n
25,5,n
25,6,a
25,7,f
26,0,a
26,1,a
26,2,a
26,3,a
26,4,n
26,5,n
26,6,n
26,7,a
27,0,a
27,1,n
27,2,f
27,3,a
27,4,a
27,5,a
27,6,n
27,7,n
28,0,a
28,1,f
28,2,a
28,3,n
28,4,n
28,5,n
28,6,a
28,7,a
29,0,f
29,1,a
29,2,a
29,3,a
29,4,a
29,5,a
29,6,a
29,7,a
30,0,a
30,1,a
30,2,a
30,3,a
30,4,f
30,5,f
30,6,a
30,7,a
31,0,a
31,1,f
31,2,a
31,3,a
31,4,a
31,5,a
31,6,f
31,7,n
32,0,f
32,1,a
32,2,a
32,3,a
32,4,a
32,5,n
32,6,a
32,7,n
33,0,a
33,1,n
33,2,f
33,3,a
33,4,f
33,5,f
33,6,f
33,7,a
34,0,f
34,1,a
34,2,f
34,3,a
34,4,a
34,5,n
34,6,a
34,7,a
35,0,a
35,1,a
35,2,a
35,3,n
35,4,n
35,5,f
35,6,n
35,7,a
36,0,a
36,1,f
36,2,a
36,3,n
36,4,a
36,5,a
36,6,a
36,7,a
37,0,n
37,1,f
37,2,a
37,3,n
37,4,a
37,5,f
37,6,a
37,7,a
38,0,a
38,1,a
38,2,a
38,3,a
38,4,f
38,5,n
38,6,a
38,7,n
39,0,a
39,1,n
39,2,n
39,3,a
39,4,a
39,5,a
39,6,a
39,7,a
40,0,a
40,1,a
40,2,n
40,3,f
40,4,n
40,5,a
40,6,a
40,7,a
41,0,n
41,1,a
41,2,a
41,3,n
41,4,a
41,5,f
41,6,a
41,7,f
42,0,n
42,1,a
42,2,a
42,3,a
42,4,a
42,5,f
42,6,a
42,7,n
43,0,a
43,1,a
43,2,a
